Community plan,Summary,Council person,Staff recommendation,School district representative,Proposed zoning type id,Community character policy id,Existing zoning type id,Map id,Pdf link,Request type,School district,ID,Date,Requested by,Community character policy,Parcel id,Document number,Applicant,Council district,Staff recommendation description,Project name,Number of acres,Number of units proposed,Number of units currently,Location description,Addresses
South Nashville Community Plan,The request is to amend the SP to prohibit Short Term Rental Property (STRP) as a land use.,Sledge,Conditional,Buggs,"[""SP-MR""]","[""T4 NE""]","[""SP-MR""]","[""105-11-2-D""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-21111821sr.pdf_item_21.pdf,SP Amendment,5,Southgate Station (Amendment)_2021-11-18,2021-11-18,Councilmember Colby Sledge,T4 Urban Neighborhood Evolving (T4 NE),"[""059"",""060"",""061"",""062"",""064"",""082"",""902"",""903""]",2372,"Councilmember Colby Sledge, applicant; various property owners.",17,Staff recommends approval with conditions and disapproval without all conditions.,Southgate Station (Amendment),1.97,46,46,Various properties located north of Southgate Avenue and on either side of Marshall Hollow Drive (1.97 acres),"[""522 Southgate Avenue"",""526 Southgate Avenue""]"
,Concept plan approval to create five lots on 1.09 acres in a single-family residential zone.,Benedict,Defer,Masters,"[""RS55""]",,"[""RS55""]","[""084-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/052324StaffReport.pdf_item_9.pdf,concept plan,3,Gillock Street_2024-05-23,2024-05-23,W.T. Smith Land Surveying,,"[""033""]",159,"W.T. Smith Land Surveying, applicant; Turnkey Builders, LLC, owner",7,"Staff recommends deferral to the June 13, 2024, Planning Commission meeting.",Gillock Street,1.09,5,,"Gillock Street, approximately 360 feet south of Hilltop Avenue","[""714B Gillock Street"",""716 Gillock Street"",""Gillock Street""]"
North Nashville Community Plan,"The proposal is a rezoning from IWD to MUG-NS to allow mixed-use development including residential, retail, and office uses.",Toombs,Approve,Buggs,"[""MUG-NS""]","[""D EC""]","[""IWD""]","[""070-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/052523StaffReport.pdf_item_34.pdf,zone change,5,Zone Change 2023Z-059PR-001_2023-05-25,2023-05-25,"Holland and Knight LLP, applicant; Forum Woodlawn, LLC, owner",District Employment Center Policy (D EC),"[""007""]",189,"Holland and Knight LLP, applicant; Forum Woodlawn, LLC, owner",2,Staff recommends approval.,Zone Change 2023Z-059PR-001,10.01,653,,"210 Athens Way, approximately 550 feet north of Rosa Parks Boulevard, 10.01 acres","[""210 Athens Way"",""Rosa Parks Boulevard""]"
South Nashville Community Plan,"The requested zoning change to MUL-A will support redevelopment consistent with T4 MU policy, promoting mixed-use and enhancing pedestrian connectivity.",Sledge,Conditional,Pinkston,"[""MUL-A""]","[""T4 MU""]","[""RS5""]","[""071-11""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180412sr.pdf_item_16.pdf,zone change,7,2018Z-037PR-001_2018-04-12,2018-04-12,"Axis Creative, LLC",T4 Urban Mixed Use Neighborhood (T4 MU),"[""129""]",3134,"Axis Creative, LLC, applicant; Buy N Save Market, Inc., Nagi Hauter, Jamal Albarati and O.I.C. 2209 Foster Avenue Townhomes, owners",17,Staff recommends approval with conditions as the request is consistent with the T4 Urban Mixed Use Neighborhood policy.,2018Z-037PR-001,0.39,18,3,"west side of Foster Avenue, approximately 140 feet south of Glenrose Avenue, 0.39 acres","[""2207 Foster Avenue"",""2209 Foster Avenue"",""2211 Foster Avenue"",""2211 B Foster Avenue""]"
,"A request to rezone from Single-family Residential (RS10) to Specific Plan (SP) zoning for properties located at 2001 Lebanon Pike and Lebanon Pike, approximately 300 feet southwest of Quinn Circle.",Syracuse,Defer,Little,"[""SP""]",,"[""RS10""]","[""097""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/MPC-220526sr.pdf_item_4.pdf,preliminary sp,4,Autumn Glen_2022-05-26,2022-05-26,"Dale & Associates, Tennestate Enterprises, Inc.",,"[""141""]",2668,Dale & Associates,15,"Staff recommends deferral to the June 9, 2022, Planning Commission meeting.",Autumn Glen,12.67,,,"2001 Lebanon Pike and Lebanon Pike (unnumbered), approximately 300 feet southwest of Quinn Circle","[""2001 Lebanon Pike""]"
South Nashville Community Plan,"The proposed zoning change allows for higher density, providing a maximum of four units on the site, adhering to urban form and policy guidance.",Welsch,Approve,Buggs,"[""R6-A""]","[""T4 NM""]","[""RS5""]","[""069-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/032824StaffReport.pdf_item_21.pdf,zone change,5,Zone Change 2024Z-034PR-001_2024-03-28,2024-03-28,Steadfast Group,Urban Neighborhood Maintenance (T4 NM),"[""020""]",96,"Steadfast Group, applicant; George Peacher Jr. Et UX., owner.",16,Staff recommends approval.,Zone Change 2024Z-034PR-001,0.41,4,3,southwest corner of Oriel Ave. and Burbank Ave (0.41 acres),"[""299 Oriel Ave"",""301 Oriel Ave""]"
South Nashville Community Plan,Amend South Nashville Community Plan by changing policies to T5 Mixed Use on 81.3 acres.,O’Connell,Defer,Buggs,"[""T5""]","[""T5""]","[""IG"",""IR""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/181213sr.pdf_item_14.pdf,major plan amendment,5,South Nashville Community Plan Amendment_2018-12-13,2018-12-13,GDC,District Industrial Policy and Conservation Policy to T5 Mixed Use Neighborhood Policy,,1011,"GDC, applicant; various property owners",19,"Staff recommends deferral to the February 28, 2019, Planning Commission meeting at the request of the applicant.",South Nashville Community Plan Amendment,81.3,,,"Various properties zoned Industrial General (IG) and Industrial Restrictive (IR), 81.3 acres",
West Nashville Community Plan,"The application proposes 22 additional multifamily residential units, consistent with T4 Urban Neighborhood Maintenance policy.",Roberts,Conditional,Gentry,"[""SP-R""]","[""T4 NM""]","[""SP-R"",""CS""]","[""071-08""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180125sr.pdf_item_8.pdf,SP amendment,1,Treaty Oaks SP Amendment_2018-01-25,2018-01-25,"CESO, Inc., applicant; 1211 57th Avenue T.O., LLC, owners.",Urban Neighborhood Maintenance,"[""043"",""044"",""046"",""058"",""060"",""382""]",597,"CESO, Inc.",20,"Defer to the February 8, 2018, Planning Commission meeting unless a recommendation of approval is received from all reviewing agencies. If a recommendation of approval is received from all reviewing agencies, staff recommends approval with conditions and disapproval without all conditions",Treaty Oaks SP Amendment,1.91,22,60,"Approximately 185 feet north of Morrow Road, 1.91 acres","[""1206B 60th Avenue North"",""58th Avenue North"",""1042"",""1044"",""1046"",""1048"",""1050 Treaty Oaks Drive""]"
,Request for final plat approval to create three lots at Buena Vista Pike.,Toombs,Defer,Gentry,"[""R10""]",,"[""R10""]","[""147-12""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/210826sr.pdf_item_3.pdf,final plat,1,Scruggs Estate_2021-08-26,2021-08-26,Daniels and Associates,,"[""028""]",2223,Daniels and Associates,2,"Staff recommends deferral to the September 23, 2021, Planning Commission meeting at the request of the applicant.",Scruggs Estate,5.63,3,,"Buena Vista Pike, approximately 1,230 feet north of Stokers Lane","[""Buena Vista Pike"",""Stokers Lane""]"
,A Preliminary SP to permit a multi-family residential development of up to 300 units.,Parker,Defer,Gentry,"[""SP""]",,"[""RS5""]","[""059""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/27AprilStaffReport.pdf_item_12.pdf,preliminary SP,1,1003 Douglas Ave. Multifamily_2023-04-27,2023-04-27,Catalyst Design Group,,"[""235""]",2251,"Catalyst Design Group, applicant; East Nashville, LLC, owner",5,"Staff recommends deferral to the May 11, 2023, Planning Commission meeting.",1003 Douglas Ave. Multifamily,3.18,300,0,"Northwestern corner of Douglas Avenue and Trevecca Avenue, within the Nashville Auto Diesel College Institutional Overlay","[""1003 Douglas Avenue""]"
,"The request is for final plat approval to create three lots on property located at 407 Landon Drive, at the southern corner of Landon Drive and Manley Drive, zoned Single-Family Residential (RS20) (2.67 acres).",Johnston,Defer,Elrod,,,"[""RS20""]","[""108-16""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/092321_Staff_Report.pdf_item_17.pdf,final plat,2,Resub of Tract 1 Plan of Brentwood Hall Section 5_2021-09-23,2021-09-23,Southern Precision,,"[""086""]",2839,"Southern Precision, applicant; Michael Cunningham, owner",26,"Staff recommends the item be deferred to the October 28, 2021, Planning Commission hearing at the request of the applicant.",Resub of Tract 1 Plan of Brentwood Hall Section 5,2.67,3,,"southern corner of Landon Drive and Manley Drive, 2.67 acres","[""407 Landon Drive"",""Landon Drive"",""Manley Drive""]"
,The request is to amend the previously platted setbacks on a property located on Ries Avenue.,Roberts,Defer,Frogge,"[""R8""]",,"[""R8""]","[""092-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190214sr.pdf_item_7.pdf,subdivision plat amendment,9,Mosswood Lot 57 Subdivision Amendment_2019-02-14,2019-02-14,"Dale & Associates, Edward Michaels, IV, owner",,"[""168"",""169"",""170""]",1145,Dale & Associates,20,"Staff recommends deferral to the February 28, 2019, Planning Commission meeting.",Mosswood Lot 57 Subdivision Amendment,0.21,,,"southwest corner of Laredo Avenue and Ries Avenue, zoned One and Two-Family Residential (R8) (0.21 acres)","[""715 Ries Avenue"",""Laredo Avenue"",""Ries Avenue""]"
Donelson-Hermitage-Old Hickory Community Plan,"The proposal is to rezone from Commercial Service (CS) to Mixed Use Neighborhood-Alternative-No STRP (MUN-A-NS) for a 0.43-acre property at 117 Bridgeway Avenue to allow for a mixture of residential, retail, and office uses.",Eslick,Approve,Nabaa Mc Kinney,"[""MUN-A-NS""]","[""T3 NC""]","[""CS""]","[""126""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/020824StaffReport.pdf_item_9.pdf,Zone Change,4,Zone Change 2023Z-096PR-001_2024-02-08,2024-02-08,Kimley-Horn,T3 Suburban Neighborhood Center (T3 NC),"[""060"",""103""]",43,"Kimley-Horn, applicant; 117 Bridgeway, LLC., owner.",11,Staff recommends approval.,Zone Change 2023Z-096PR-001,0.43,5,0,"Approximately 275 feet east of Keeton Avenue, 0.43 acres.","[""117 Bridgeway Avenue""]"
Parkwood-Union Hill Community Plan,The proposed residential development is consistent with the T3 Neighborhood Evolving policy and enhances suburban neighborhoods with improved pedestrian and vehicular connectivity.,Haywood,Conditional,Speering,"[""SP-R""]","[""T3 NE""]","[""R20""]","[""081-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180125sr.pdf_item_2.pdf,Specific Plan,3,Lowes Lane SP_2018-01-25,2018-01-25,Dale and Associates,T3 Suburban Neighborhood Evolving (T3 NE),"[""202"",""203""]",590,Dale and Associates,3,Approve with conditions and disapprove without all conditions.,Lowes Lane SP,2.11,15,5,"Northeast corner of Lowes Lane and Birdwell Drive, 2.11 acres","[""Lowes Lane"",""Birdwell Drive""]"
South Nashville Community Plan,"The rezoning to MUL-A for mixed-use development integrates residential, retail, and office spaces to create walkable neighborhoods.",Sledge,Approve,Buggs,"[""MUL-A""]","[""T4 MU""]","[""IR""]","[""071-15""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/190509sr.pdf_item_52.pdf,zone change,5,Zone Change 2019Z-076PR-001_2019-05-09,2019-05-09,Fulmer Engineering,T4 Urban Mixed Use Neighborhood (T4 MU),"[""018"",""900""]",1350,"Fulmer Engineering, applicant; Nashville Phase 1 Property Holders, LLC., owner",17,Staff recommends approval as the request is consistent with the T4 Urban Mixed Use Neighborhood policy.,Zone Change 2019Z-076PR-001,1.19,30,0,northwest corner of Brown Street and Houston Street,"[""500 Houston Street"",""510 Houston Street"",""Brown Street"",""Houston Street""]"
Bellevue Community Plan,Staff recommends that the planning commission recommend to council to cancel the specific plan and rezone the property to RS80 or to SP-R.,Weiner,Conditional,Frogge,"[""RS80"",""SP-R""]","[""T3 NM""]","[""SP-MR""]","[""042""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/180111sr.pdf_item_13.pdf,preliminary sp,9,Olde Mill SP (Periodic Review)_2018-01-11,2018-01-11,Councilmembers Sheri Weiner and Dave Rosenberg,Suburban Neighborhood Maintenance (T3 NM),"[""019"",""044""]",544,"Councilmembers Sheri Weiner and Dave Rosenberg, applicants; Old Mill Partnership & Johnny Ray Cowden, ET AL",22,Find the SP to be inactive. Recommend that Council cancel the Specific Plan and rezone the property to RS80 or to SP-R with an associated site plan with a maximum density equivalent to a RS40 zoning district,Olde Mill SP (Periodic Review),131.06,0,0,"8811 Newsom Station Road and 8873 Newsom Station Road, approximately 1700 feet northwest of Coley Davis Road","[""8811 Newsom Station Road"",""8873 Newsom Station Road""]"
North Nashville Community Plan,"The application proposes to rezone the property from RS5 to R6-A to allow up to 2 housing units on 0.16 acres, aligning with T4 NM policy for increased housing choice.",Taylor,Approve,Buggs,"[""R6-A""]","[""T4 NM""]","[""RS5""]","[""092-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/121423StaffReport.pdf_item_26.pdf,zone change,5,None_2023-12-14,2023-12-14,"Dale & Associates, applicant",T4 Urban Neighborhood Maintenance,"[""086""]",529,"Dale & Associates, applicant, Turnkey Builders, LLC, owner",21,Staff recommends approval.,,0.16,2,1,approximately 300 feet west of 27th Avenue North and located within a Detached Accessory Dwelling Unit Overlay District (0.16 acres),"[""2712 Morena Street""]"
,A zone change request from R6 to OR20-A at 758 Lynwood Ave.,Vo,Defer,Buggs,"[""OR20-A""]",,"[""R6""]",,https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/041124StaffReport.pdf_item_13.pdf,zone change,5,Zone Change 2024Z-040PR-001_2024-04-11,2024-04-11,"Holland & Knight, LLP, applicant; James Ryan Snellen Living Trust, owner",,,110,"Holland & Knight, LLP",17,"Staff recommends deferral to the April 25, 2024, Planning Commission meeting.",Zone Change 2024Z-040PR-001,0.14,,,approximately 230 feet west of Ridley Blvd. (0.14 acres),"[""758 Lynwood Ave.""]"
Bordeaux-Whites Creek-Haynes Trinity Community Plan,Rezone from R8 to IWD for one parcel at 421 Woodfolk Ave within Bordeaux-Whites Creek community.,Toombs,Approve,Gentry,"[""IWD""]","[""T4 NE"",""IWD""]","[""R8""]","[""105-06""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/041124StaffReport.pdf_item_12.pdf,zone change,1,2024Z-039PR-001_2024-04-11,2024-04-11,"Start, LLC",Urban Neighborhood Evolving (T4 NE) to Industrial Warehousing/Distribution (IWD),"[""160""]",109,"Start, LLC, applicant and owner",2,Staff recommends approval.,2024Z-039PR-001,0.11,0,1,"421 Woodfolk Ave, approximately 525 feet west of Brick Church Pike, 0.11 acres","[""421 Woodfolk Ave""]"
Antioch - Priest Lake Community Plan,Request to rezone from Commercial Service (CS) and Agricultural/Residential (AR2a) to Specific Plan (SP). Permits all uses of CS zoning within the Murfreesboro Pike and Hamilton Hills Urban Design Overlay.,Harrell,Conditional,Mayes,"[""SP""]","[""T3 CM""]","[""CS"",""AR2a""]","[""126""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/011124StaffReport.pdf_item_20.pdf,specific plan,6,BL2023-133_2024-01-11,2024-01-11,Councilmember Joy Styles,T3 Suburban Mixed Use Corridor (T3 CM),"[""060"",""103""]",13,"Councilmember Joy Styles, applicant; OV 07 Mt. View, LLC, owner",8,Approve with conditions and disapprove without all conditions.,BL2023-133,4.86,,,North of the intersection of Murfreesboro Pike and Mt. View Road,"[""3332 Murfreesboro Pike""]"
East Nashville Community Plan,Proposal to rezone 0.18 acres of a property in East Nashville from RS5 to R6-A to permit two housing units.,Parker,Conditional,Buggs,"[""R6-A""]","[""T4 NE""]","[""RS5""]","[""091""]",https://zoning-project.s3.amazonaws.com/nashville/staff-reports-individual-pdfs/200116sr.pdf_item_28.pdf,zone change,5,Zone Change 2020Z-018PR-001_2020-01-16,2020-01-16,"Capital Investments, LLC",T4 Urban Neighborhood Evolving (T4 NE),"[""043""]",1672,"Capital Investments, LLC, applicant; ADS of South Florida, LLC, owners",5,Approve with conditions,Zone Change 2020Z-018PR-001,0.18,2,1,"Property located at 316 Edith Avenue, approximately 540 feet east of Meridian Street (0.18 acres)","[""316 Edith Avenue"",""Meridian Street""]"
